x,y,u,v,p
0.65,0.03,-0.0154358,-0.0010083,-0.0129425
0.66,0.03,-0.0148018,-0.0010579,-0.0127493
0.67,0.03,-0.0141393,-0.00110204,-0.0125742
0.68,0.03,-0.0134519,-0.00114031,-0.0124184
0.69,0.03,-0.012743,-0.00117234,-0.0122824
0.7,0.03,-0.0120166,-0.00119778,-0.0121672
0.71,0.03,-0.0112767,-0.00121635,-0.0120731
0.72,0.03,-0.0105275,-0.00122779,-0.0120005
0.73,0.03,-0.00977341,-0.00123191,-0.0119495
0.74,0.03,-0.00901875,-0.00122858,-0.0119202
0.75,0.03,-0.00826803,-0.0012177,-0.0119123
0.76,0.03,-0.00752579,-0.00119926,-0.0119253
0.77,0.03,-0.00679652,-0.00117331,-0.0119587
0.78,0.03,-0.00608466,-0.00113996,-0.0120117
0.79,0.03,-0.00539459,-0.00109937,-0.0120832
0.8,0.03,-0.00473053,-0.0010518,-0.0121719
0.81,0.03,-0.00409654,-0.00099757,-0.0122766
0.82,0.03,-0.00349646,-0.000937053,-0.0123955
0.83,0.03,-0.00293386,-0.000870715,-0.0125269
0.84,0.03,-0.00241203,-0.000799091,-0.0126688
0.85,0.03,-0.00193387,-0.000722802,-0.0128191
0.86,0.03,-0.00150189,-0.000642556,-0.0129755
0.87,0.03,-0.00111813,-0.000559166,-0.0131355
0.88,0.03,-0.000784096,-0.000473563,-0.0132966
0.89,0.03,-0.000500693,-0.000386826,-0.0134562
0.9,0.03,-0.000268123,-0.000300213,-0.0136113
0.91,0.03,-8.57891e-05,-0.000215218,-0.0137592
0.92,0.03,4.78357e-05,-0.00013364,-0.0138969
0.93,0.03,0.000135364,-5.7675e-05,-0.0140216
0.94,0.03,0.00018068,9.95876e-06,-0.0141304
0.95,0.03,0.000189146,6.58781e-05,-0.0142207
0.96,0.03,0.000167893,0.000105892,-0.01429
0.97,0.03,0.000125922,0.000124931,-0.0143367
0.98,0.03,7.414e-05,0.000117215,-0.0143596
0.99,0.03,3.10569e-05,7.68577e-05,-0.014347
1,0.03,0,0,-0.014347
0,0.04,0,0,-0.0198705
0.01,0.04,7.2066e-06,-6.80525e-05,-0.0198705
0.02,0.04,5.8453e-06,-6.10618e-05,-0.0198947
0.03,0.04,-2.19869e-05,-3.55472e-06,-0.0199409
0.04,0.04,-8.8858e-05,8.85119e-05,-0.0200053
0.05,0.04,-0.000203328,0.000202795,-0.020085
0.06,0.04,-0.000371002,0.00032994,-0.020177
0.07,0.04,-0.000595044,0.000463065,-0.0202783
0.08,0.04,-0.000876686,0.000597164,-0.020386
0.09,0.04,-0.00121565,0.00072866,-0.0204976
0.1,0.04,-0.00161049,0.000855051,-0.0206106
0.11,0.04,-0.00205893,0.000974633,-0.0207228
0.12,0.04,-0.00255805,0.0010863,-0.0208322
0.13,0.04,-0.0031045,0.00118938,-0.0209373
0.14,0.04,-0.00369468,0.00128354,-0.0210364
0.15,0.04,-0.00432482,0.00136865,-0.0211285
0.16,0.04,-0.00499108,0.00144479,-0.0212123
0.17,0.04,-0.0056896,0.00151212,-0.0212871
0.18,0.04,-0.00641658,0.00157089,-0.021352
0.19,0.04,-0.0071683,0.0016214,-0.0214064
0.2,0.04,-0.00794114,0.00166397,-0.0214498
0.21,0.04,-0.00873156,0.00169891,-0.0214818
0.22,0.04,-0.00953616,0.00172655,-0.021502
0.23,0.04,-0.0103516,0.00174717,-0.0215101
0.24,0.04,-0.0111748,0.00176106,-0.021506
0.25,0.04,-0.0120026,0.00176845,-0.0214893
0.26,0.04,-0.0128321,0.00176956,-0.02146
0.27,0.04,-0.0136602,0.00176455,-0.021418
0.28,0.04,-0.0144841,0.00175357,-0.0213631
0.29,0.04,-0.0153011,0.00173673,-0.0212954
0.3,0.04,-0.0161084,0.00171412,-0.0212147
0.31,0.04,-0.0169032,0.00168579,-0.021121
0.32,0.04,-0.0176829,0.00165179,-0.0210144
0.33,0.04,-0.0184448,0.00161213,-0.020895
0.34,0.04,-0.0191862,0.00156681,-0.0207627
0.35,0.04,-0.0199045,0.00151585,-0.0206176
0.36,0.04,-0.020597,0.00145923,-0.02046
0.37,0.04,-0.0212611,0.00139696,-0.02029
0.38,0.04,-0.0218941,0.00132906,-0.0201078
0.39,0.04,-0.0224934,0.00125554,-0.0199137
0.4,0.04,-0.0230566,0.00117645,-0.019708
0.41,0.04,-0.023581,0.00109185,-0.0194912
0.42,0.04,-0.0240641,0.00100185,-0.0192636
0.43,0.04,-0.0245036,0.000906574,-0.0190258
0.44,0.04,-0.024897,0.00080618,-0.0187784
0.45,0.04,-0.0252422,0.000700877,-0.018522
0.46,0.04,-0.0255369,0.000590913,-0.0182573
0.47,0.04,-0.0257792,0.000476581,-0.0179852
0.48,0.04,-0.0259672,0.000358223,-0.0177065
0.49,0.04,-0.0260993,0.000236228,-0.0174222
0.5,0.04,-0.026174,0.000111038,-0.0171333
0.51,0.04,-0.02619,-1.68583e-05,-0.0168409
0.52,0.04,-0.0261462,-0.000146922,-0.0165462
0.53,0.04,-0.026042,-0.000278567,-0.0162504
0.54,0.04,-0.0258768,-0.00041116,-0.0159548
0.55,0.04,-0.0256504,-0.000544026,-0.0156607
0.56,0.04,-0.025363,-0.00067645,-0.0153695
0.57,0.04,-0.025015,-0.000807683,-0.0150826
0.58,0.04,-0.0246072,-0.000936943,-0.0148014
0.59,0.04,-0.0241408,-0.00106343,-0.0145274
0.6,0.04,-0.0236173,-0.00118631,-0.0142619
0.61,0.04,-0.0230386,-0.00130477,-0.0140065
